City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
453,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,
456,Nelson Bay,AU,80.1,broken clouds,-32.7167,152.15,
457,Bontang,ID,76.01,moderate rain,0.1333,117.5,
459,Inirida,CO,86.99,few clouds,3.8653,-67.9239,
468,Port Keats,AU,81.61,light rain,-14.25,129.55,
481,Meulaboh,ID,76.55,overcast clouds,4.1363,96.1285,
486,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,
490,Road Town,VG,78.89,few clouds,18.4167,-64.6167,
494,Sorong,ID,81.57,light rain,-0.8833,131.25,
504,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,
507,Ailigandi,PA,79.97,clear sky,9.2333,-78.0167,
509,Mumford,GH,78.82,overcast clouds,5.2618,-0.759,
513,Paita,PE,77.56,broken clouds,-5.0892,-81.1144,
517,Sao Sepe,BR,79.83,broken clouds,-30.1606,-53.5653,
525,Saint-Leu,RE,77.86,few clouds,-21.15,55.2833,
529,Muncar,ID,76.93,heavy intensity rain,-8.4333,114.3333,
531,Samarai,PG,81.86,overcast clouds,-10.6167,150.6667,
536,Sinnamary,GF,76.39,broken clouds,5.3833,-52.95,
538,Emerald,AU,80.35,broken clouds,-23.5333,148.1667,
543,Piacabucu,BR,80.33,overcast clouds,-10.4056,-36.4344,
544,Kilindoni,TZ,79.81,light rain,-7.9139,39.6668,
545,Tual,ID,83.73,light rain,-5.6667,132.75,
547,Matadi,CD,77.04,light rain,-5.8167,13.45,
549,Gabu,GW,82.38,scattered clouds,12.2833,-14.2167,
551,Manta,EC,78.58,overcast clouds,-0.95,-80.7333,
553,San Borja,BO,79.05,scattered clouds,-14.8167,-66.85,
567,Harper,LR,79.74,broken clouds,4.375,-7.7169,
570,Balabac,PH,79.66,few clouds,7.9868,117.0645,
574,Pilar,BR,80.53,overcast clouds,-9.5972,-35.9567,
576,Mandera,KE,81.07,overcast clouds,3.9366,41.867,
578,Kolondieba,ML,78.46,scattered clouds,11.0882,-6.8926,
594,Tecoanapa,MX,83.41,clear sky,16.5167,-98.75,
595,Sassandra,CI,78.19,broken clouds,4.95,-6.0833,
596,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,
597,Garissa,KE,78.04,scattered clouds,-0.4536,39.6401,
601,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,
603,Caxito,AO,79.45,overcast clouds,-8.5785,13.6643,
604,Itaituba,BR,75.31,overcast clouds,-4.2761,-55.9836,
606,Camargo,MX,75.11,broken clouds,27.6667,-105.1667,
608,Porto Belo,BR,75.18,overcast clouds,-27.1578,-48.5531,
611,Dulce Nombre De Culmi,HN,82.63,overcast clouds,15.1,-85.5333,
615,Jandayan,PH,78.94,few clouds,10.1667,124.1833,
619,Amahai,ID,78.6,overcast clouds,-3.3333,128.9167,
620,Gunjur,GM,75.27,overcast clouds,13.2019,-16.7339,
628,Puerto Escondido,MX,82.9,clear sky,15.85,-97.0667,
630,Ugoofaaru,MV,81.64,scattered clouds,5.6667,73.0,
631,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,
637,Luna,PH,78.46,scattered clouds,10.9667,123.2333,
641,Lazaro Cardenas,MX,83.46,clear sky,17.9583,-102.2,
642,Sechura,PE,78.06,broken clouds,-5.5569,-80.8222,
643,Denpasar,ID,76.71,broken clouds,-8.65,115.2167,
648,Maldonado,UY,81.23,clear sky,-34.6667,-54.9167,
649,Sabang,ID,81.39,overcast clouds,5.8933,95.3214,
665,Aquin,HT,79.03,scattered clouds,18.2833,-73.4,
666,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,
667,Alugan,PH,77.49,scattered clouds,12.2188,125.4808,
668,Gigmoto,PH,76.69,scattered clouds,13.7796,124.39,
669,Sumbe,AO,77.14,overcast clouds,-11.2061,13.8437,
677,Boffa,GN,77.5,scattered clouds,10.1667,-14.0333,
679,Batemans Bay,AU,77.99,few clouds,-35.7167,150.1833,
684,Abeokuta,NG,78.35,overcast clouds,7.15,3.35,
686,Touros,BR,81.5,few clouds,-5.1989,-35.4608,
687,Angoche,MZ,77.16,clear sky,-16.2325,39.9086,
690,Acarau,BR,77.29,light rain,-2.8856,-40.12,
694,Kapasan,ID,75.13,overcast clouds,-6.7773,111.3789,Perum Perhutani Kph Mantingan
