City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
59,Mandalgovi,MN,2022-01-30 22:05:37,45.7625,106.2708,-1.68,82,9,8.48,clear sky
60,Altinho,BR,2022-01-30 22:05:38,-8.4897,-36.0594,74.71,77,66,10.11,broken clouds
61,Mataura,NZ,2022-01-30 22:01:31,-46.1927,168.8643,68.49,68,48,0.47,scattered clouds
62,Leningradskiy,RU,2022-01-30 22:05:38,69.3833,178.4167,-14.04,94,90,3.74,overcast clouds
63,Thompson,CA,2022-01-30 22:02:19,55.7435,-97.8558,4.91,92,100,5.97,overcast clouds
64,Bantogon,PH,2022-01-30 22:05:39,6.5333,124.0333,77.63,78,13,4.85,few clouds
65,Saint-Philippe,RE,2022-01-30 22:05:39,-21.3585,55.7679,78.39,82,46,11.36,scattered clouds
66,Faanui,PF,2022-01-30 22:03:58,-16.4833,-151.75,80.6,72,11,9.1,few clouds
67,Paso De Ovejas,MX,2022-01-30 22:04:18,19.2833,-96.4333,75.02,64,65,8.7,broken clouds
68,New Norfolk,AU,2022-01-30 22:02:42,-42.7826,147.0587,68.76,72,4,2.37,clear sky
69,Nishihara,JP,2022-01-30 22:05:40,26.1842,127.7558,58.28,55,75,13.8,broken clouds
70,Yellowknife,CA,2022-01-30 22:01:16,62.456,-114.3525,-6.59,83,100,8.99,overcast clouds
71,Berlevag,NO,2022-01-30 22:04:00,70.8578,29.0864,30.2,93,100,6.91,snow
72,Lebu,CL,2022-01-30 22:01:39,-37.6167,-73.65,60.28,65,0,20.49,clear sky
73,Flinders,AU,2022-01-30 22:05:41,-34.5833,150.8552,79.38,76,20,7.0,few clouds
74,Norman Wells,CA,2022-01-30 22:05:42,65.282,-126.8329,-11.2,97,99,6.53,overcast clouds
75,Antalaha,MG,2022-01-30 22:05:42,-14.9003,50.2788,75.33,86,16,7.78,few clouds
76,Ponta Do Sol,PT,2022-01-30 22:05:43,32.6667,-17.1,65.12,39,1,9.37,clear sky
77,Butaritari,KI,2022-01-30 22:03:57,3.0707,172.7902,82.04,76,17,20.92,light rain
78,Constitucion,CL,2022-01-30 22:05:43,-35.3333,-72.4167,65.75,67,5,19.95,clear sky
79,Armidale,AU,2022-01-30 22:05:44,-30.5167,151.65,70.81,66,12,1.97,few clouds
80,Sorland,NO,2022-01-30 22:05:44,67.667,12.6934,30.27,44,91,6.82,overcast clouds
81,Praia Da Vitoria,PT,2022-01-30 22:05:45,38.7333,-27.0667,58.75,84,48,24.05,scattered clouds
82,Hithadhoo,MV,2022-01-30 22:05:45,-0.6,73.0833,81.55,70,86,9.4,overcast clouds
83,Peterhead,GB,2022-01-30 22:05:45,57.5058,-1.7981,43.2,89,100,13.8,overcast clouds
84,Naron,ES,2022-01-30 22:05:46,43.5167,-8.1528,48.67,83,0,7.11,clear sky
85,Vardo,NO,2022-01-30 22:05:46,70.3705,31.1107,28.15,80,40,10.36,scattered clouds
86,Ouahigouya,BF,2022-01-30 22:05:47,13.5828,-2.4216,73.51,12,44,11.01,scattered clouds
87,Port Elizabeth,ZA,2022-01-30 22:03:18,-33.918,25.5701,71.1,90,94,10.38,overcast clouds
88,Faya,SA,2022-01-30 22:05:47,18.3851,42.4509,52.32,84,11,4.23,few clouds
89,North Platte,US,2022-01-30 22:05:48,41.1239,-100.7654,60.69,17,0,5.01,clear sky
90,East London,ZA,2022-01-30 22:02:41,-33.0153,27.9116,74.61,83,83,15.01,broken clouds
91,Lata,PT,2022-01-30 22:05:48,40.1629,-8.3327,46.81,55,99,3.15,overcast clouds
92,Cherskiy,RU,2022-01-30 22:06:49,68.75,161.3,-27.58,99,98,1.05,overcast clouds
93,Vila Franca Do Campo,PT,2022-01-30 22:06:49,37.7167,-25.4333,59.41,80,47,15.12,scattered clouds
94,San Patricio,US,2022-01-30 22:06:49,28.017,-97.5169,71.69,54,45,13.47,scattered clouds
95,Olinda,BR,2022-01-30 22:03:02,-8.0089,-34.8553,83.93,70,75,9.22,broken clouds
96,Komsomolskiy,UZ,2022-01-30 22:04:48,40.4272,71.7189,29.62,60,100,1.59,overcast clouds
97,Sola,VU,2022-01-30 22:06:50,-13.8833,167.55,79.47,83,100,3.44,overcast clouds
98,Klaksvik,FO,2022-01-30 22:05:08,62.2266,-6.589,36.52,78,100,41.85,overcast clouds
99,Huilong,CN,2022-01-30 22:06:51,31.8111,121.655,36.03,70,4,4.92,clear sky
100,Victoria,HK,2022-01-30 22:01:53,22.2855,114.1577,58.32,77,86,1.99,overcast clouds
101,Bathsheba,BB,2022-01-30 22:06:52,13.2167,-59.5167,79.41,69,40,13.8,scattered clouds
102,Karasjok,NO,2022-01-30 22:06:52,69.4719,25.5112,5.11,99,20,2.82,few clouds
103,Pandan,PH,2022-01-30 22:04:52,14.0453,124.1694,77.02,88,35,12.68,scattered clouds
104,Te Anau,NZ,2022-01-30 22:06:53,-45.4167,167.7167,66.97,70,21,0.67,few clouds
105,Fortuna,US,2022-01-30 22:06:53,40.5982,-124.1573,60.42,73,0,1.99,clear sky
106,Grindavik,IS,2022-01-30 22:02:32,63.8424,-22.4338,27.07,68,75,36.82,light shower snow
107,Kaeo,NZ,2022-01-30 22:06:54,-35.1,173.7833,72.32,77,99,14.61,overcast clouds
108,Panjakent,TJ,2022-01-30 22:06:54,39.4952,67.6093,28.2,57,1,4.52,clear sky
109,Avarua,CK,2022-01-30 22:02:18,-21.2078,-159.775,73.45,94,75,6.91,light rain
110,Lasa,IT,2022-01-30 22:06:55,46.6166,10.7002,35.69,46,13,6.78,few clouds
111,Toowoomba,AU,2022-01-30 22:06:56,-27.55,151.9667,72.25,82,20,1.99,few clouds
112,Bambous Virieux,MU,2022-01-30 22:06:56,-20.3428,57.7575,79.05,94,75,11.5,light intensity shower rain
113,Hamilton,US,2022-01-30 22:06:10,39.1834,-84.5333,39.72,58,0,1.99,clear sky
114,Huejuquilla El Alto,MX,2022-01-30 22:06:57,22.6,-103.8667,73.22,15,98,19.06,overcast clouds
115,Puerto Penasco,MX,2022-01-30 22:04:03,31.3167,-113.5333,62.91,52,0,5.01,clear sky
116,Ballina,AU,2022-01-30 22:06:13,-28.8667,153.5667,77.04,96,52,8.43,broken clouds
117,Cayenne,GF,2022-01-30 22:06:58,4.9333,-52.3333,78.1,87,24,11.01,few clouds
118,Castro,BR,2022-01-30 22:06:31,-24.7911,-50.0119,63.91,97,98,8.19,overcast clouds
119,Carnarvon,AU,2022-01-30 22:06:34,-24.8667,113.6333,77.52,73,57,21.47,broken clouds
120,Kruisfontein,ZA,2022-01-30 22:06:55,-34.0033,24.7314,68.88,96,80,5.3,broken clouds
121,Puerto Ayora,EC,2022-01-30 22:06:59,-0.7393,-90.3518,82.36,73,100,8.79,overcast clouds
122,San Policarpo,PH,2022-01-30 22:07:00,12.1791,125.5072,77.74,85,42,2.71,scattered clouds
123,Kaitangata,NZ,2022-01-30 22:05:41,-46.2817,169.8464,68.94,75,16,0.29,few clouds
124,Hervey Bay,AU,2022-01-30 22:07:01,-25.2986,152.8535,82.04,79,19,9.22,few clouds
